timestamp_ms,channel,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11
1771936198854,TP9,60.0586,6.8359,4.8828,52.7344,83.0078,31.2500,-20.5078,20.9961,85.9375,41.9922,-11.2305,24.9023
1771936198855,AF7,26.8555,34.6680,31.7383,24.4141,31.7383,42.4805,30.2734,17.5781,27.8320,41.9922,35.6445,40.5273
1771936198897,TP10,43.9453,-3.4180,-47.8516,-10.2539,46.3867,38.5742,-25.8789,-41.9922,21.9727,30.7617,-27.3438,-39.0625
1771936198897,AF8,15.1367,13.1836,38.5742,43.4570,12.6953,19.5313,34.1797,25.8789,28.3203,10.2539,22.4609,41.5039
1771936198898,TP9,81.5430,40.5273,-8.7891,21.4844,78.6133,65.9180,0.0000,-1.4648,66.4063,75.1953,23.9258,7.3242
1771936198899,AF7,39.0625,18.5547,23.9258,43.9453,29.2969,15.1367,29.2969,35.1563,31.2500,27.3438,49.8047,57.1289
1771936198941,TP10,-3.4180,41.5039,0.0000,-41.5039,-13.1836,47.8516,25.3906,-22.9492,-12.2070,37.5977,46.3867,-22.9492
1771936198942,AF8,15.6250,5.3711,22.9492,30.7617,12.2070,6.8359,22.9492,35.6445,26.8555,-0.4883,16.6016,35.6445
1771936198943,TP9,29.7852,63.4766,37.1094,0.4883,18.0664,78.6133,59.0820,15.6250,25.3906,70.3125,84.4727,21.9727
1771936198943,AF7,20.5078,-4.3945,11.7188,33.2031,25.3906,11.7188,22.9492,43.9453,42.4805,21.9727,34.1797,45.4102
1771936198987,TP10,-42.4805,14.6484,48.3398,-4.8828,-31.2500,11.7188,58.1055,26.3672,-36.6211,-13.1836,62.9883,40.0391
1771936198987,AF8,33.2031,21.4844,2.9297,4.8828,12.6953,7.3242,0.0000,30.2734,37.5977,26.3672,28.3203,18.5547
1771936198988,TP9,-3.4180,48.3398,77.1484,21.9727,6.3477,43.4570,78.6133,62.0117,8.7891,18.5547,89.8438,70.8008
1771936198988,AF7,30.2734,6.8359,-0.4883,20.9961,36.1328,25.3906,20.0195,42.4805,46.8750,33.6914,26.3672,24.4141
